"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-0.437217956432829,0.020575388587409,1.42176536932091,2.17298143233366,4.06214901961974,NA,NA,1.89651562075377,NA,1.60814007148933,0.158127293355998,0.960076262928163,3.08746222948973,NA,6.77619993965702,5.57132894990903,5.69358603250635,8.09117043916205,8.11052263755332,NA,10.0562979697935,NA,11.9989346691301,NA,11.7760885933542,10.4506143145916,11.79024873217,12.7728532178438,NA,9.38225688767844,NA,NA,NA,6.89962308931822,8.8309161879057,NA,9.48883883329915,NA,NA,NA,NA,6.23733148319316,NA,8.2421428939642,6.63109841144147,4.35626814057256,NA,0.916378252540758,2.03841973243223,NA
NA,NA,-1.73825919069433,NA,NA,-5.38460872746506,-6.49497276938831,-8.312296425882,NA,NA,-9.01008983480677,-8.25738712909587,-7.28280543222052,-5.10401829975766,NA,-4.69511109247796,-5.24580981941914,-7.37906232303087,-8.45308464583115,-9.89544852947879,NA,-11.171826467019,-10.2841603600394,-6.67696177849773,-6.27050508542969,NA,-4.9498619748894,NA,NA,NA,-3.09845002004382,-2.50666162596156,-0.953081497630098,-1.18307700587269,-2.44876018524101,-2.49611850773772,-0.613300346307066,-1.99570333275215,-2.15552421014905,NA,-2.45925069624054,NA,NA,-5.44925319716305,-4.86026633926793,-3.86289311180315,-3.14385794952829,NA,-3.44223851136779,-0.874048148032113
NA,-1.77948269351151,NA,0.388882632307105,-0.32404720505098,1.1471838364229,NA,NA,-0.799583934398556,-1.97717066374255,-2.30926483819573,-0.943172652213358,2.62620101159785,2.96251603138615,2.26195380362264,3.16852396735778,1.9965492404244,0.900988937715849,0.427716104399748,NA,1.21239206435307,1.08828632997194,1.32780135426665,-0.0304038391860721,-0.383560536364096,1.79093918755478,NA,3.30062624991593,NA,NA,-2.99230780677134,-2.7365188824325,-3.36383963635124,-2.64304682680636,-3.64727702454984,NA,-3.48579798897354,-6.15496850127166,-6.72216318261906,-5.80490783948686,-4.60797202485121,-4.49751390283543,-5.44903746272386,-5.92130846000446,-4.75969883748227,-3.11329662619301,-2.50058774918591,-2.93008565302054,-0.438814644000324,-1.65294367478349
NA,-1.47090596428191,NA,-2.86120443172198,-2.48325846939015,-1.71930773761581,-3.86477398760544,NA,-5.91551254247022,-4.37346618862004,-4.68293190356811,-4.30429804490779,-3.02408650653099,-2.85247143221094,0.63780857314045,1.99669682110659,0.650730926537017,-1.61323614026567,-2.19742242999252,-2.58340326698258,-4.06458502228664,-5.22470749438188,-5.23986948396603,-2.48444464573767,-2.78538853023813,-3.26860610824652,-2.46930950466286,-4.78330504942182,NA,-4.59666774275297,-5.96338777457082,-5.37783407785482,-6.09531094029139,-5.70481501569914,-5.4625176828467,-4.76928230986187,-5.47669657628572,-3.88876151857113,-4.59538914127359,-4.02639295266021,-3.81859064481277,-5.25093193519774,-3.62599712010751,-4.37605030317636,-4.48302147306051,-4.48224133192946,-2.6891172838575,-3.65099772330259,-3.01626081963748,-1.11640427424331
NA,-1.36261384954972,NA,0.792546699866205,0.244880056564894,-0.808911502582016,-0.219032473910558,NA,-0.335294178306596,-1.27034483514751,1.73237069019203,2.11184824948095,1.64598762080129,1.71729581906522,0.437949847080451,-0.535897263988745,-1.1792031453923,-1.04774360247207,0.282918635333053,1.23327741647356,-1.41254967698223,-1.08770983652413,-0.3487567851109,-0.672294155673237,-2.02046758685342,-1.88418619149258,-0.0846485947627462,-1.41190646764535,-2.31968280442389,-2.03468542280502,-3.06964059137294,-3.31143488102493,-3.87709910439726,-2.34007956318985,-2.50347804085304,-4.2361598057721,-4.1084485604555,-2.97979499346141,-3.7765578185413,-2.88700925537986,-3.59486270571405,-3.41437717655516,-3.29483823680016,-4.01339711978324,-4.24044007355208,-2.34385583732272,-1.56267545640193,-0.31095058784604,-1.31297798994509,0.353121348050462
NA,0.182047368362022,-0.104158381754226,1.03062399870367,3.0511988798968,2.2033385439773,0.364564916780353,NA,0.840443072961313,-0.914973379849148,NA,-3.08654699393204,-1.91605120516455,-0.858311932028843,-0.643093441439532,-2.33055638308267,-0.90994789579928,0.613483796169202,NA,NA,-0.373380224066442,1.38327175186066,2.71200489285155,-1.68198366115739,-0.0394533217859124,0.858113544370185,NA,-2.57193179543941,-4.50704543651013,-5.02149078836968,-4.55445916762095,-5.9759630380564,-4.59019974074528,-6.05613974302504,-6.7100442146333,-7.07350227595488,-7.52429887086106,-6.79609946671818,-3.9346086011657,-3.520785069037,-4.21737640817888,-5.87860109112887,-6.60031159474368,-6.56314352644853,-8.51167716603189,-8.20947413249584,-6.01411852372158,-4.44734821296607,-4.30202801017894,-2.64307965208669
1.17239698372915,0.883420872025806,2.02287227513591,NA,NA,0.097978412595311,-1.91800658485729,-0.823975031728129,NA,NA,-3.17347722337121,-3.39985213454961,-4.17726419084337,-3.90011921704089,NA,-2.42892791535962,NA,-2.16844854413653,-3.13647439891948,-3.31382693071959,-1.90005996750622,NA,-2.96595144627223,-1.47268525070854,-1.73027272018317,-0.077353927242678,2.10818417549787,3.05664890552976,3.83858879019963,6.54237709943931,8.09176164249054,NA,7.36085022866564,7.14214695187915,6.44737350665391,5.06360624012744,6.41756369358084,4.55669600455639,3.43532582352572,NA,2.93359107812873,NA,NA,0.813390851393116,-2.57287483546691,-1.33555359217842,-1.23501397893551,1.15924943304354,-0.301721577715628,NA
NA,-1.06095201487125,-2.95267487555785,-3.49871498538759,-2.26284249812161,NA,-1.35383096588077,NA,-1.89472349494073,-3.07775226543275,-3.92460128768037,-3.0369684114357,-3.98570557389986,-1.39546200275857,-2.14514586920883,0.0290643859648368,0.713880923497684,NA,2.73086516495572,NA,3.13209486772401,1.89543282871911,0.921600621525614,1.51478751094086,0.879139056494808,-0.228878740272587,NA,-2.52214060181922,-3.17594825595357,-3.89578630349249,-5.39768038022217,-4.62581321206464,-5.81390703204468,-6.246576625762,-6.19628284039814,-5.67312991307849,-6.69984383025863,-3.54030679340609,-2.43081482583948,-1.82019824407014,NA,-0.542087309440023,-2.18112442834113,-1.45948652006183,0.149951772956795,0.994072340667885,1.24926176194607,1.17350274187526,0.15925118720704,1.07471036025
NA,0.514669116738995,NA,4.04292825729309,3.20899025057057,0.941099118427597,-0.270375335044795,NA,0.770536931695648,0.89136563017369,0.150313773153205,-1.50588361604896,-3.43287970734404,-5.41030967471116,-6.05985111745304,-5.40691350626003,NA,-8.81004595588455,NA,-8.61171526639197,-7.6955065033956,-8.42730652678327,NA,-8.22207419339058,NA,-9.51102974594352,-10.687940055454,-12.7352385590506,-12.6656718431151,-10.3149017126876,-9.36116642789991,-7.28886999937638,-7.34707935396625,NA,-8.29092071705258,-7.49176306843184,NA,-5.56286387997684,-6.14132698576541,-7.34937403894239,-5.95368481409243,NA,-8.72659576689284,-7.52422867392802,-7.49184201655289,NA,-6.97657112533064,-4.58041102693878,NA,-1.6139447189422
-0.634963401160871,0.740526360179813,0.487733332083493,0.757848098069107,-0.74375411789315,NA,-0.491014560194963,NA,0.53954348913042,-1.2432098933352,-2.14265303906402,0.544347678130627,1.09630211849906,1.95600640639105,1.41626082446433,2.7324535885376,2.9583792628783,2.45116849477079,2.28293650887,NA,4.93824368138934,3.95744584569002,2.22189015843211,2.28925706730817,3.62292096462581,4.26199868574146,NA,2.64768515519179,NA,0.183100287684195,-0.771110768607712,NA,-1.10045177918337,-5.86815959411233,-4.18488629398819,-4.43035740670485,-2.12862838473034,-2.75058572634198,-2.39583450976206,-5.21312998273232,-2.40834736984976,-2.12057315845391,1.15538512225797,1.73932618524347,0.130989297833321,-0.462237164304615,-0.141358680982073,0.151816904521882,-0.371128818687887,0.486101395832855
